country,city,occupation,field,years_of_experience,salary,employment_type,education_level,gender,company_size,year,month
Italy,Milan,HR Analyst,Human Resources,22,151168.0,internship,Master,Female,Large,2023,6
Brazil,Sao Paulo,Marketing Specialist,Marketing,25,113345.0,part_time,Master,Male,Small,2024,9
Mexico,Mexico City,Data Scientist,Technology,19,176985.0,work_from_home,Bachelor,Other,Medium,2023,7
Singapore,Singapore,HR Analyst,Human Resources,12,229605.0,freelance,PhD,Other,Large,2024,2
Germany,Berlin,Product Manager,Technology,15,370000.0,internship,PhD,Female,Small,2025,5
Australia,Sydney,AI Engineer,Technology,3,219126.0,work_from_home,Master,Male,Medium,2024,7
United Arab Emirates,Dubai,Financial Analyst,Finance,15,295173.0,internship,PhD,Male,Small,2024,4
Australia,Sydney,Product Manager,Technology,13,216745.0,internship,Master,Other,Small,2022,7
Spain,Madrid,Business Analyst,Business,4,100896.0,internship,Master,Female,Small,2025,8
Japan,Tokyo,Financial Analyst,Finance,8,280007.0,part_time,Master,Male,Large,2025,6
Canada,Toronto,HR Analyst,Human Resources,10,155959.0,internship,PhD,Other,Small,2022,6
Germany,Berlin,Data Analyst,Technology,16,292566.0,internship,PhD,Female,Enterprise,2023,2
Italy,Milan,Product Manager,Technology,20,301571.0,part_time,PhD,Female,Medium,2024,9
France,Paris,HR Analyst,Human Resources,8,131130.0,internship,Master,Female,Large,2025,4
Netherlands,Amsterdam,Data Scientist,Technology,16,343399.0,internship,Master,Female,Enterprise,2025,12
South Korea,Seoul,Product Manager,Technology,18,262641.0,part_time,Bachelor,Female,Medium,2025,7
New Zealand,Auckland,AI Engineer,Technology,5,194276.0,full_time,High School,Male,Enterprise,2023,1
United Arab Emirates,Dubai,Financial Analyst,Finance,9,246733.0,freelance,Master,Other,Large,2023,1
Canada,Toronto,Business Analyst,Business,14,306598.0,work_from_home,Master,Other,Large,2025,8
Ireland,Dublin,AI Engineer,Technology,14,323745.0,full_time,PhD,Other,Medium,2024,8
South Korea,Seoul,Data Analyst,Technology,22,134317.0,part_time,Bachelor,Other,Small,2022,1
United Kingdom,London,Financial Analyst,Finance,25,266385.0,internship,Bachelor,Other,Large,2023,11
Sweden,Stockholm,Product Manager,Technology,14,311179.0,part_time,Master,Other,Large,2022,2
Singapore,Singapore,Operations Manager,Operations,16,312700.0,internship,Bachelor,Female,Large,2025,10
Netherlands,Amsterdam,Marketing Specialist,Marketing,18,276839.0,freelance,PhD,Other,Enterprise,2024,8
Mexico,Mexico City,UX Designer,Design,15,196217.0,part_time,PhD,Other,Enterprise,2025,4
France,Paris,Business Analyst,Business,14,130118.0,full_time,High School,Other,Small,2023,11
India,Bangalore,Cloud Engineer,Technology,14,132702.0,part_time,Master,Other,Large,2024,7
Australia,Sydney,UX Designer,Design,8,331700.0,internship,PhD,Male,Enterprise,2024,3
South Africa,Cape Town,Product Manager,Technology,2,128993.0,part_time,Master,Other,Large,2022,5
Canada,Toronto,UX Designer,Design,9,184085.0,freelance,High School,Female,Medium,2025,6
Brazil,Sao Paulo,Operations Manager,Operations,20,194235.0,internship,Master,Female,Large,2023,8
New Zealand,Auckland,Operations Manager,Operations,9,254753.0,internship,Bachelor,Male,Enterprise,2024,5
Japan,Tokyo,AI Engineer,Technology,1,127968.0,full_time,Master,Male,Small,2022,7
United States,New York,Financial Analyst,Finance,0,94557.0,freelance,High School,Other,Large,2025,9
Spain,Madrid,Operations Manager,Operations,19,162206.0,freelance,Bachelor,Other,Small,2022,7
United Kingdom,London,Cloud Engineer,Technology,15,247220.0,full_time,Bachelor,Male,Small,2024,7
United Arab Emirates,Dubai,Software Engineer,Technology,10,243762.0,internship,Bachelor,Other,Medium,2023,9
India,Bangalore,Operations Manager,Operations,2,66730.0,full_time,Bachelor,Other,Medium,2022,8
United States,New York,Cloud Engineer,Technology,13,370000.0,internship,Master,Female,Enterprise,2024,6
United Kingdom,London,Cloud Engineer,Technology,15,271168.0,part_time,High School,Other,Large,2024,10
United Arab Emirates,Dubai,AI Engineer,Technology,9,357621.0,freelance,Master,Other,Large,2024,6
New Zealand,Auckland,Data Analyst,Technology,14,155874.0,part_time,Master,Other,Small,2023,10
Japan,Tokyo,AI Engineer,Technology,11,248370.0,freelance,Bachelor,Female,Small,2025,8
Singapore,Singapore,Software Engineer,Technology,14,360633.0,freelance,PhD,Female,Large,2023,12
Japan,Tokyo,AI Engineer,Technology,16,350372.0,part_time,PhD,Other,Medium,2024,12
United Kingdom,London,HR Analyst,Human Resources,10,141741.0,full_time,High School,Female,Enterprise,2023,4
Netherlands,Amsterdam,Cloud Engineer,Technology,25,305193.0,work_from_home,Bachelor,Other,Enterprise,2022,4
United States,New York,Cloud Engineer,Technology,20,358892.0,part_time,Master,Male,Enterprise,2022,2
Japan,Tokyo,Software Engineer,Technology,9,170565.0,work_from_home,High School,Female,Small,2022,10
New Zealand,Auckland,AI Engineer,Technology,19,230835.0,full_time,Bachelor,Other,Small,2022,3
South Korea,Seoul,Software Engineer,Technology,3,226444.0,part_time,PhD,Female,Large,2023,11
United Arab Emirates,Dubai,Marketing Specialist,Marketing,15,140312.0,full_time,High School,Other,Small,2023,6
Switzerland,Zurich,Operations Manager,Operations,17,259023.0,full_time,High School,Other,Large,2024,3
New Zealand,Auckland,Product Manager,Technology,2,95483.0,part_time,High School,Female,Medium,2022,11
Mexico,Mexico City,Financial Analyst,Finance,8,160771.0,part_time,Master,Other,Large,2025,10
Spain,Madrid,Operations Manager,Operations,18,362532.0,part_time,Bachelor,Other,Small,2024,12
Ireland,Dublin,HR Analyst,Human Resources,2,101686.0,internship,High School,Male,Large,2025,3
United Kingdom,London,UX Designer,Design,3,200665.0,part_time,Master,Male,Large,2025,10
Sweden,Stockholm,Product Manager,Technology,6,189271.0,freelance,High School,Other,Enterprise,2025,6
Italy,Milan,UX Designer,Design,1,166175.0,part_time,PhD,Male,Enterprise,2022,11
India,Bangalore,Data Analyst,Technology,14,112152.0,work_from_home,Master,Male,Enterprise,2022,8
France,Paris,Data Scientist,Technology,9,274563.0,part_time,PhD,Female,Medium,2025,9
South Africa,Cape Town,UX Designer,Design,10,114480.0,work_from_home,Bachelor,Other,Large,2024,1
Spain,Madrid,AI Engineer,Technology,1,165223.0,work_from_home,Bachelor,Female,Large,2025,1
United Kingdom,London,Financial Analyst,Finance,20,241126.0,internship,High School,Male,Enterprise,2023,7
France,Paris,Data Analyst,Technology,3,149071.0,freelance,PhD,Female,Small,2022,5
Brazil,Sao Paulo,Product Manager,Technology,17,225871.0,internship,Bachelor,Female,Large,2023,2
Canada,Toronto,AI Engineer,Technology,5,264136.0,full_time,Master,Female,Medium,2024,12
Mexico,Mexico City,Marketing Specialist,Marketing,24,82341.0,freelance,High School,Female,Medium,2024,4
Ireland,Dublin,Software Engineer,Technology,18,360771.0,freelance,Master,Male,Enterprise,2023,7
Mexico,Mexico City,AI Engineer,Technology,6,148487.0,freelance,High School,Female,Large,2025,9
Ireland,Dublin,HR Analyst,Human Resources,5,89775.0,internship,High School,Female,Small,2024,9
Switzerland,Zurich,Operations Manager,Operations,24,319365.0,work_from_home,Bachelor,Other,Medium,2024,3
France,Paris,Cloud Engineer,Technology,2,181392.0,freelance,High School,Female,Enterprise,2024,5
Brazil,Sao Paulo,Financial Analyst,Finance,11,134274.0,work_from_home,Bachelor,Female,Small,2025,5
Spain,Madrid,Business Analyst,Business,12,155395.0,full_time,Master,Other,Small,2024,1
Australia,Sydney,AI Engineer,Technology,15,324097.0,internship,High School,Female,Enterprise,2025,4
Japan,Tokyo,Cloud Engineer,Technology,18,284087.0,work_from_home,Bachelor,Other,Medium,2022,9
Singapore,Singapore,AI Engineer,Technology,7,169805.0,internship,High School,Female,Small,2022,2
United Kingdom,London,Operations Manager,Operations,18,229019.0,full_time,Bachelor,Other,Medium,2024,4
United Arab Emirates,Dubai,Data Scientist,Technology,10,370000.0,part_time,PhD,Other,Enterprise,2025,9
South Korea,Seoul,Marketing Specialist,Marketing,11,127311.0,full_time,Master,Male,Small,2022,7
Mexico,Mexico City,Data Analyst,Technology,5,87178.0,work_from_home,Bachelor,Male,Enterprise,2024,2
Ireland,Dublin,Cloud Engineer,Technology,22,283457.0,part_time,Bachelor,Male,Enterprise,2022,6
United States,New York,Operations Manager,Operations,9,171712.0,work_from_home,High School,Male,Small,2023,1
Italy,Milan,Software Engineer,Technology,3,210306.0,full_time,Master,Other,Enterprise,2024,10
Ireland,Dublin,Data Scientist,Technology,5,370000.0,work_from_home,PhD,Male,Enterprise,2025,9
India,Bangalore,Data Analyst,Technology,1,80894.0,work_from_home,PhD,Other,Enterprise,2024,2
United States,New York,Business Analyst,Business,13,226967.0,work_from_home,Bachelor,Male,Medium,2022,11
United States,San Francisco,Business Analyst,Business,1,135603.0,part_time,Master,Other,Small,2025,1
Mexico,Mexico City,Marketing Specialist,Marketing,16,120850.0,freelance,Master,Female,Medium,2022,8
United States,San Francisco,AI Engineer,Technology,4,287640.0,freelance,PhD,Male,Medium,2025,2
France,Paris,Business Analyst,Business,24,197780.0,internship,High School,Other,Enterprise,2025,2
Brazil,Sao Paulo,Operations Manager,Operations,1,18065.0,internship,Bachelor,Other,Small,2025,1
Spain,Madrid,Data Analyst,Technology,21,186973.0,full_time,Master,Female,Small,2024,10
Brazil,Sao Paulo,Software Engineer,Technology,11,132764.0,full_time,PhD,Female,Small,2024,4
Mexico,Mexico City,Marketing Specialist,Marketing,4,105582.0,full_time,PhD,Female,Large,2025,10
South Africa,Cape Town,Data Scientist,Technology,24,250476.0,freelance,PhD,Male,Enterprise,2024,8
Singapore,Singapore,Business Analyst,Business,24,256611.0,internship,Bachelor,Other,Large,2022,5
United Arab Emirates,Dubai,Data Scientist,Technology,18,266325.0,internship,High School,Female,Enterprise,2024,6
Sweden,Stockholm,AI Engineer,Technology,14,213950.0,freelance,Bachelor,Female,Medium,2022,9
United Arab Emirates,Dubai,Data Scientist,Technology,19,257390.0,freelance,Bachelor,Male,Medium,2023,8
Netherlands,Amsterdam,Cloud Engineer,Technology,4,135271.0,freelance,High School,Other,Small,2025,5
United Kingdom,London,UX Designer,Design,23,184853.0,work_from_home,High School,Female,Large,2023,10
Switzerland,Zurich,AI Engineer,Technology,21,363261.0,full_time,High School,Other,Large,2023,1
Ireland,Dublin,Software Engineer,Technology,14,201506.0,work_from_home,High School,Female,Medium,2023,4
India,Bangalore,Data Analyst,Technology,20,84377.0,internship,Bachelor,Female,Large,2023,2
Singapore,Singapore,Software Engineer,Technology,22,359586.0,internship,Master,Female,Enterprise,2023,11
Brazil,Sao Paulo,UX Designer,Design,20,164746.0,freelance,PhD,Female,Medium,2022,4
New Zealand,Auckland,Financial Analyst,Finance,2,162081.0,full_time,Bachelor,Male,Enterprise,2023,8
India,Bangalore,Financial Analyst,Finance,15,120701.0,work_from_home,Master,Female,Medium,2023,2
Japan,Tokyo,Software Engineer,Technology,12,298672.0,work_from_home,Master,Male,Large,2022,12
Mexico,Mexico City,Cloud Engineer,Technology,11,169043.0,freelance,Master,Female,Medium,2022,5
France,Paris,AI Engineer,Technology,18,312011.0,internship,Master,Male,Medium,2024,12
United States,New York,Software Engineer,Technology,12,326380.0,internship,PhD,Male,Medium,2025,1
Sweden,Stockholm,UX Designer,Design,21,214699.0,work_from_home,Bachelor,Male,Small,2023,6
Japan,Tokyo,Product Manager,Technology,23,281876.0,freelance,High School,Other,Large,2024,4
United Arab Emirates,Dubai,Product Manager,Technology,7,350354.0,freelance,Master,Female,Medium,2025,2
United Arab Emirates,Dubai,Data Analyst,Technology,2,123096.0,work_from_home,High School,Female,Large,2023,9
Singapore,Singapore,Marketing Specialist,Marketing,8,123580.0,internship,High School,Female,Small,2024,9
Netherlands,Amsterdam,AI Engineer,Technology,11,368980.0,full_time,Master,Female,Enterprise,2025,11
United States,San Francisco,UX Designer,Design,5,175195.0,internship,Bachelor,Female,Large,2022,8
New Zealand,Auckland,HR Analyst,Human Resources,25,137652.0,part_time,Bachelor,Other,Large,2022,1
Australia,Sydney,Cloud Engineer,Technology,19,360658.0,freelance,Master,Male,Enterprise,2023,2
France,Paris,Marketing Specialist,Marketing,20,185859.0,full_time,PhD,Other,Small,2023,5
Australia,Sydney,AI Engineer,Technology,16,331674.0,full_time,Master,Other,Small,2025,7
New Zealand,Auckland,Data Scientist,Technology,7,290240.0,full_time,PhD,Female,Enterprise,2022,2
Ireland,Dublin,Cloud Engineer,Technology,13,332500.0,part_time,PhD,Male,Small,2023,1
France,Paris,Product Manager,Technology,8,241508.0,internship,High School,Other,Large,2022,6
United Arab Emirates,Dubai,Data Scientist,Technology,17,367611.0,internship,PhD,Female,Enterprise,2024,10
New Zealand,Auckland,Data Analyst,Technology,9,158287.0,full_time,Bachelor,Other,Enterprise,2024,10
United Kingdom,London,Software Engineer,Technology,4,230043.0,full_time,Master,Male,Large,2022,10
France,Paris,Cloud Engineer,Technology,17,328459.0,internship,Bachelor,Female,Enterprise,2024,12
United Kingdom,London,Financial Analyst,Finance,18,313401.0,work_from_home,PhD,Male,Enterprise,2024,10
Italy,Milan,Cloud Engineer,Technology,15,278447.0,work_from_home,PhD,Female,Medium,2023,11
South Korea,Seoul,AI Engineer,Technology,22,275902.0,freelance,Master,Other,Medium,2023,5
Spain,Madrid,AI Engineer,Technology,5,213717.0,full_time,Master,Female,Small,2024,10
Canada,Toronto,Software Engineer,Technology,6,271358.0,internship,Bachelor,Female,Enterprise,2024,1
United Arab Emirates,Dubai,Financial Analyst,Finance,0,161808.0,freelance,PhD,Other,Medium,2025,8
United States,New York,Cloud Engineer,Technology,11,292785.0,part_time,Bachelor,Other,Small,2025,11
Netherlands,Amsterdam,Data Analyst,Technology,18,131683.0,full_time,Bachelor,Male,Small,2025,6
Brazil,Sao Paulo,UX Designer,Design,1,67841.0,freelance,High School,Female,Enterprise,2022,3
Mexico,Mexico City,Operations Manager,Operations,14,109555.0,part_time,Bachelor,Female,Small,2025,7
United States,New York,HR Analyst,Human Resources,25,214582.0,freelance,PhD,Male,Medium,2024,8
Ireland,Dublin,Data Scientist,Technology,6,213589.0,internship,Bachelor,Male,Medium,2025,10
Spain,Madrid,Data Analyst,Technology,20,170274.0,internship,High School,Male,Large,2023,2
New Zealand,Auckland,Data Analyst,Technology,20,194378.0,full_time,Bachelor,Female,Enterprise,2022,12
United Arab Emirates,Dubai,Product Manager,Technology,17,277093.0,work_from_home,PhD,Female,Medium,2022,1
Spain,Madrid,AI Engineer,Technology,19,204522.0,freelance,Bachelor,Male,Medium,2022,11
Singapore,Singapore,Data Scientist,Technology,5,295026.0,freelance,Bachelor,Male,Enterprise,2022,1
Netherlands,Amsterdam,UX Designer,Design,16,227063.0,work_from_home,Bachelor,Male,Enterprise,2022,10
New Zealand,Auckland,UX Designer,Design,20,230418.0,full_time,Bachelor,Female,Large,2023,2
United States,San Francisco,Operations Manager,Operations,5,291146.0,freelance,Master,Male,Medium,2024,2
South Korea,Seoul,AI Engineer,Technology,2,174835.0,full_time,High School,Male,Enterprise,2022,3
Italy,Milan,Operations Manager,Operations,7,154164.0,full_time,High School,Female,Enterprise,2022,6
Italy,Milan,Software Engineer,Technology,5,205040.0,work_from_home,Bachelor,Female,Enterprise,2022,11
South Korea,Seoul,Product Manager,Technology,19,238544.0,part_time,High School,Male,Enterprise,2023,6
Mexico,Mexico City,Data Analyst,Technology,12,133266.0,freelance,PhD,Other,Enterprise,2024,8
United States,San Francisco,Product Manager,Technology,12,309572.0,internship,High School,Male,Enterprise,2024,10
India,Bangalore,UX Designer,Design,8,54783.0,internship,High School,Other,Small,2022,12
United States,San Francisco,HR Analyst,Human Resources,0,202325.0,full_time,Master,Female,Medium,2022,10
Netherlands,Amsterdam,Data Scientist,Technology,0,29012.0,internship,PhD,Male,Medium,2023,7
France,Paris,Operations Manager,Operations,24,188651.0,internship,High School,Female,Large,2022,5
Brazil,Sao Paulo,Operations Manager,Operations,14,153297.0,full_time,PhD,Female,Large,2024,10
Switzerland,Zurich,HR Analyst,Human Resources,25,242777.0,internship,Master,Male,Small,2025,7
Australia,Sydney,Operations Manager,Operations,3,121109.0,part_time,Bachelor,Other,Small,2023,2
India,Bangalore,Cloud Engineer,Technology,13,109747.0,internship,High School,Male,Large,2025,4
New Zealand,Auckland,Marketing Specialist,Marketing,7,130630.0,part_time,Bachelor,Female,Large,2022,6
United Arab Emirates,Dubai,UX Designer,Design,4,250258.0,freelance,Master,Other,Enterprise,2023,1
Spain,Madrid,Marketing Specialist,Marketing,13,168696.0,internship,PhD,Other,Medium,2022,5
Netherlands,Amsterdam,Data Scientist,Technology,11,138134.0,full_time,High School,Other,Small,2023,4
Italy,Milan,Operations Manager,Operations,1,132680.0,freelance,Master,Male,Medium,2023,6
Japan,Tokyo,HR Analyst,Human Resources,2,161316.0,part_time,Bachelor,Other,Small,2022,7
United Arab Emirates,Dubai,Operations Manager,Operations,8,179855.0,freelance,High School,Male,Medium,2024,6
France,Paris,Data Scientist,Technology,21,238920.0,part_time,Master,Female,Small,2025,7
United States,New York,Product Manager,Technology,3,247440.0,internship,PhD,Male,Small,2022,5
Singapore,Singapore,Product Manager,Technology,5,283726.0,freelance,Bachelor,Female,Large,2023,11
Ireland,Dublin,Data Scientist,Technology,14,253037.0,full_time,High School,Female,Large,2025,4
Singapore,Singapore,HR Analyst,Human Resources,20,230378.0,freelance,PhD,Female,Medium,2025,2
Germany,Berlin,Software Engineer,Technology,10,195662.0,internship,High School,Other,Large,2022,9
Italy,Milan,Operations Manager,Operations,2,138210.0,work_from_home,Bachelor,Male,Enterprise,2024,7
South Africa,Cape Town,Data Scientist,Technology,19,144632.0,freelance,High School,Other,Enterprise,2025,12
India,Bangalore,Operations Manager,Operations,12,88953.0,internship,Master,Female,Medium,2022,4
United States,San Francisco,Marketing Specialist,Marketing,24,136063.0,work_from_home,High School,Other,Small,2023,6
France,Paris,Software Engineer,Technology,7,159711.0,work_from_home,High School,Female,Enterprise,2024,6
Italy,Milan,AI Engineer,Technology,16,370000.0,work_from_home,PhD,Female,Large,2024,5
Canada,Toronto,Software Engineer,Technology,19,158012.0,internship,High School,Male,Medium,2024,4
India,Bangalore,Data Scientist,Technology,0,47865.0,part_time,Master,Other,Medium,2024,4
Netherlands,Amsterdam,Business Analyst,Business,11,196392.0,work_from_home,Master,Male,Small,2025,10
France,Paris,AI Engineer,Technology,19,290804.0,part_time,Master,Other,Medium,2023,8
United Arab Emirates,Dubai,Product Manager,Technology,8,343284.0,part_time,PhD,Male,Medium,2023,3
United States,New York,Data Scientist,Technology,13,296608.0,full_time,Bachelor,Other,Medium,2024,7
South Korea,Seoul,HR Analyst,Human Resources,5,117146.0,full_time,PhD,Other,Medium,2022,9
Spain,Madrid,Business Analyst,Business,3,184957.0,full_time,PhD,Other,Enterprise,2024,3
Sweden,Stockholm,Business Analyst,Business,22,172523.0,internship,High School,Other,Large,2023,4
New Zealand,Auckland,Financial Analyst,Finance,2,146910.0,internship,Bachelor,Other,Medium,2024,12
South Korea,Seoul,HR Analyst,Human Resources,25,149656.0,part_time,High School,Other,Enterprise,2023,8
Germany,Berlin,AI Engineer,Technology,11,290739.0,freelance,High School,Female,Large,2024,7
Ireland,Dublin,Financial Analyst,Finance,4,124239.0,work_from_home,High School,Other,Medium,2024,9
South Africa,Cape Town,Data Analyst,Technology,4,103149.0,work_from_home,Master,Male,Enterprise,2023,5
United Kingdom,London,Business Analyst,Business,7,160536.0,freelance,Bachelor,Male,Medium,2022,6
Germany,Berlin,AI Engineer,Technology,20,315388.0,part_time,Master,Male,Small,2024,11
Australia,Sydney,Marketing Specialist,Marketing,10,223364.0,internship,PhD,Male,Medium,2024,1
Australia,Sydney,Operations Manager,Operations,18,370000.0,internship,PhD,Other,Enterprise,2025,12
United Arab Emirates,Dubai,Marketing Specialist,Marketing,23,295102.0,full_time,Master,Other,Large,2024,11
United States,San Francisco,Cloud Engineer,Technology,15,370000.0,full_time,PhD,Other,Large,2024,2
Sweden,Stockholm,Data Analyst,Technology,0,105896.0,freelance,Bachelor,Male,Large,2024,9
United Kingdom,London,Data Analyst,Technology,1,185524.0,work_from_home,Master,Male,Enterprise,2025,10
South Africa,Cape Town,Data Scientist,Technology,15,197767.0,work_from_home,PhD,Other,Enterprise,2024,7
Spain,Madrid,Cloud Engineer,Technology,8,210990.0,full_time,High School,Other,Large,2025,3
New Zealand,Auckland,Marketing Specialist,Marketing,0,52629.0,freelance,High School,Male,Large,2022,3
Italy,Milan,AI Engineer,Technology,2,203224.0,freelance,PhD,Female,Small,2025,9
Japan,Tokyo,Data Analyst,Technology,3,137617.0,freelance,Bachelor,Male,Small,2025,7
United Arab Emirates,Dubai,Financial Analyst,Finance,7,156038.0,part_time,Bachelor,Male,Small,2025,1
Sweden,Stockholm,Product Manager,Technology,20,263808.0,part_time,High School,Other,Large,2022,1
Netherlands,Amsterdam,AI Engineer,Technology,19,356093.0,work_from_home,PhD,Male,Enterprise,2022,8
South Africa,Cape Town,Software Engineer,Technology,23,226891.0,full_time,PhD,Male,Enterprise,2025,12
Ireland,Dublin,Financial Analyst,Finance,9,203214.0,part_time,High School,Male,Enterprise,2025,10
United States,New York,UX Designer,Design,16,265644.0,work_from_home,PhD,Female,Medium,2023,7
Japan,Tokyo,Data Scientist,Technology,17,279636.0,part_time,PhD,Male,Medium,2022,6
Ireland,Dublin,Data Scientist,Technology,16,346119.0,internship,PhD,Other,Medium,2025,7
Sweden,Stockholm,HR Analyst,Human Resources,1,17668.0,internship,Master,Female,Large,2023,10
Brazil,Sao Paulo,UX Designer,Design,25,108793.0,internship,High School,Female,Medium,2025,3
Mexico,Mexico City,Operations Manager,Operations,0,80431.0,part_time,PhD,Other,Enterprise,2023,7
Australia,Sydney,AI Engineer,Technology,18,263371.0,freelance,High School,Other,Medium,2022,10
Netherlands,Amsterdam,Marketing Specialist,Marketing,9,99809.0,internship,High School,Other,Small,2023,12
Italy,Milan,Data Scientist,Technology,17,296120.0,full_time,PhD,Other,Large,2022,5
United Kingdom,London,Data Scientist,Technology,17,330940.0,part_time,PhD,Male,Small,2025,10
Spain,Madrid,Product Manager,Technology,13,284969.0,full_time,PhD,Other,Small,2025,2
South Africa,Cape Town,Business Analyst,Business,23,135483.0,work_from_home,Bachelor,Other,Large,2024,3
South Korea,Seoul,Financial Analyst,Finance,17,158445.0,full_time,Bachelor,Other,Small,2023,11
India,Bangalore,AI Engineer,Technology,10,118669.0,part_time,Master,Male,Medium,2024,8
Spain,Madrid,Business Analyst,Business,1,30530.0,internship,Master,Other,Medium,2025,7
Sweden,Stockholm,Software Engineer,Technology,19,271753.0,full_time,High School,Male,Large,2024,1
United Arab Emirates,Dubai,Operations Manager,Operations,17,360851.0,full_time,PhD,Male,Large,2023,11
Japan,Tokyo,Operations Manager,Operations,13,191814.0,full_time,High School,Male,Medium,2025,4
United Arab Emirates,Dubai,Data Analyst,Technology,0,170101.0,work_from_home,PhD,Other,Large,2023,5
Switzerland,Zurich,HR Analyst,Human Resources,7,169826.0,internship,Bachelor,Other,Enterprise,2025,7
Germany,Berlin,Operations Manager,Operations,15,305475.0,freelance,Bachelor,Other,Large,2025,4
South Africa,Cape Town,Business Analyst,Business,13,156478.0,work_from_home,Master,Other,Enterprise,2025,12
Japan,Tokyo,AI Engineer,Technology,9,355774.0,part_time,Master,Female,Enterprise,2023,9
Germany,Berlin,Cloud Engineer,Technology,14,256625.0,internship,Bachelor,Female,Enterprise,2024,11
South Korea,Seoul,Business Analyst,Business,18,213202.0,work_from_home,Master,Male,Large,2022,4
New Zealand,Auckland,Marketing Specialist,Marketing,14,167046.0,freelance,Bachelor,Other,Enterprise,2024,12
Germany,Berlin,Financial Analyst,Finance,2,256882.0,internship,PhD,Male,Large,2025,3
United Arab Emirates,Dubai,Operations Manager,Operations,1,174179.0,part_time,Master,Male,Medium,2023,9
Australia,Sydney,Data Scientist,Technology,3,289765.0,freelance,PhD,Other,Large,2023,2
South Korea,Seoul,Business Analyst,Business,1,73927.0,work_from_home,High School,Male,Small,2022,6
United Kingdom,London,Financial Analyst,Finance,24,233683.0,internship,High School,Other,Enterprise,2025,11
New Zealand,Auckland,AI Engineer,Technology,15,342063.0,internship,PhD,Female,Large,2024,7
Singapore,Singapore,Marketing Specialist,Marketing,8,186307.0,work_from_home,Master,Male,Medium,2023,10
South Africa,Cape Town,HR Analyst,Human Resources,10,77647.0,part_time,Bachelor,Other,Medium,2022,7
New Zealand,Auckland,UX Designer,Design,19,220272.0,part_time,Bachelor,Male,Enterprise,2022,5
United States,San Francisco,Marketing Specialist,Marketing,4,175658.0,work_from_home,High School,Other,Large,2023,11
South Korea,Seoul,UX Designer,Design,13,198882.0,full_time,Master,Male,Medium,2024,5
United States,San Francisco,Operations Manager,Operations,19,277418.0,part_time,Master,Female,Small,2023,9
South Africa,Cape Town,Data Scientist,Technology,20,106683.0,full_time,High School,Male,Small,2023,5
United Arab Emirates,Dubai,AI Engineer,Technology,21,266036.0,freelance,Master,Other,Small,2025,12
Spain,Madrid,HR Analyst,Human Resources,2,74367.0,part_time,High School,Female,Medium,2022,10
Mexico,Mexico City,Business Analyst,Business,6,109458.0,work_from_home,PhD,Male,Small,2025,1
Netherlands,Amsterdam,Business Analyst,Business,1,166178.0,part_time,PhD,Female,Large,2023,4
United Kingdom,London,AI Engineer,Technology,6,340256.0,freelance,Bachelor,Male,Enterprise,2024,10
South Africa,Cape Town,Data Analyst,Technology,18,366287.0,part_time,PhD,Female,Large,2024,7
Ireland,Dublin,HR Analyst,Human Resources,0,78699.0,work_from_home,PhD,Other,Small,2024,9
Ireland,Dublin,Product Manager,Technology,18,300758.0,part_time,Bachelor,Female,Large,2023,6
Netherlands,Amsterdam,Software Engineer,Technology,17,309452.0,work_from_home,Bachelor,Female,Large,2025,6
Singapore,Singapore,Data Analyst,Technology,22,333689.0,work_from_home,PhD,Female,Enterprise,2023,10
Spain,Madrid,AI Engineer,Technology,20,237945.0,freelance,Bachelor,Other,Medium,2022,2
United Arab Emirates,Dubai,Business Analyst,Business,19,205103.0,work_from_home,High School,Male,Enterprise,2022,7
United States,San Francisco,Data Analyst,Technology,12,165882.0,full_time,High School,Other,Large,2025,2
Sweden,Stockholm,Software Engineer,Technology,6,281378.0,internship,Master,Other,Large,2023,4
United States,San Francisco,Product Manager,Technology,15,290097.0,internship,High School,Female,Small,2023,7
Mexico,Mexico City,Cloud Engineer,Technology,7,140385.0,work_from_home,Master,Male,Medium,2024,7
Switzerland,Zurich,Operations Manager,Operations,24,360688.0,freelance,Bachelor,Female,Enterprise,2023,2
Australia,Sydney,Product Manager,Technology,24,309888.0,work_from_home,Bachelor,Female,Small,2023,8
Netherlands,Amsterdam,Data Analyst,Technology,4,86122.0,part_time,High School,Male,Small,2022,3
Netherlands,Amsterdam,AI Engineer,Technology,10,341726.0,full_time,Master,Male,Enterprise,2022,10
Japan,Tokyo,UX Designer,Design,6,271829.0,full_time,PhD,Other,Enterprise,2024,3
Canada,Toronto,Data Analyst,Technology,24,210408.0,full_time,PhD,Female,Small,2023,5
India,Bangalore,Software Engineer,Technology,21,103459.0,part_time,Master,Male,Small,2024,4
Japan,Tokyo,Business Analyst,Business,0,99366.0,work_from_home,Bachelor,Male,Small,2023,11
Japan,Tokyo,Operations Manager,Operations,14,182912.0,freelance,High School,Other,Large,2025,1
Ireland,Dublin,Product Manager,Technology,11,315596.0,work_from_home,PhD,Other,Large,2023,12
Mexico,Mexico City,Marketing Specialist,Marketing,17,107124.0,full_time,Master,Other,Small,2023,10
United States,San Francisco,Financial Analyst,Finance,3,266368.0,internship,PhD,Other,Enterprise,2022,8
United States,New York,Financial Analyst,Finance,22,229364.0,freelance,Bachelor,Male,Medium,2025,11
Spain,Madrid,Data Scientist,Technology,14,272205.0,freelance,Master,Male,Medium,2023,8
